resettable_device_id_or_app_instance_id,predicted_45,act_date
05158C85-4BB6-49FD-B42A-CCD2E3A0A605,0.5,2021-07-20
0D72B644-6127-4DB5-B2AB-474F121CF446,0.8855506,2021-07-20
11CDFFB3-C659-4253-88FF-36643B1496B7,2.2223687,2021-07-20
14D2E9D0-D651-465B-A549-CF2AFC2BA885,1.8708608,2021-07-20
19E2E18B-4F08-446F-BF4E-20D295A1091D,1.2696874,2021-07-20
1E941F57-A714-47A9-B8E6-59C13CE6271F,0.5,2021-07-20
20EC8C0E-0526-4E69-BB7D-8B5C413C7783,0.5,2021-07-20
25E7723D-86E4-42E7-BF61-008B352D2CD1,0.5,2021-07-20
267B2648-76FA-4204-9B53-8C5A117F4373,0.5,2021-07-20
26DE1548-49CF-4619-B033-E903697FE6EC,0.8855506,2021-07-20
34466125-91D0-49D9-A1CC-14D01E195E59,1.8708608,2021-07-20
37766425-A983-4F42-9FC6-971A16462B38,1.1342192,2021-07-20
41364CF8-EDEF-4DAC-AD07-D5A936E95749,0.5,2021-07-20
42C98045-D70B-419D-91AC-BE6B42734926,1.1342192,2021-07-20
4615F735-6615-48A4-8683-3EFF6CE87734,2.514414,2021-07-20
4F2278FE-56CC-4C79-8572-BE6CF84FAD04,1.2034867,2021-07-20
509BEF58-8036-4AAC-93FB-260C81D27C5D,0.8855506,2021-07-20
52B103B9-E064-4F63-A4C8-7006741F54DE,1.2696874,2021-07-20
584780C0-7103-4797-9DC7-D644CD553354,0.5,2021-07-20
59F2B9B4-6BF6-491B-859D-A6BEEEE1288C,1.2890484,2021-07-20
5F0A81D7-FE97-4069-9F43-956AD131AEAD,0.653975,2021-07-20
61AA921E-42B2-42F5-B341-5A38ADEF2E49,0.78944325,2021-07-20
673B2415-632D-477B-8574-C891ABE98428,0.653975,2021-07-20
77417E6A-17ED-4BF7-B8F4-21D9E0AB108D,2.3701928,2021-07-20
8101B582-8DDB-43D5-A906-83FE3795FB08,1.2034867,2021-07-20
82D1CC57-AE42-4BFD-BA4F-DD555F42DFBC,1.1342192,2021-07-20
9401EC78-A7D8-4B34-A6FB-4C15357D7E39,0.653975,2021-07-20
955B3D86-6B1F-45FA-A43A-BA1890337447,1.0210189,2021-07-20
A3324194-98F1-43EE-B2D0-1114F480E79F,0.5,2021-07-20
A3903B93-1849-4D66-B20A-0405C7620313,0.8855506,2021-07-20
A7E3BC9A-3CE1-4378-8158-5C2BDE055082,0.9802441,2021-07-20
AD28A183-3E9E-4010-AD9D-43287C7794BA,1.1342192,2021-07-20
B03A9AF1-4CF4-4D24-9ED9-6475AA4D568D,1.2696874,2021-07-20
C3ED9CF2-3C8C-4023-942F-5C16B015813C,0.5,2021-07-20
C9F13DAA-D1C5-49E6-BC80-32E321A2E4AE,0.653975,2021-07-20
C9FD1BB9-5050-4B89-A5D3-D782289B23B4,1.0210189,2021-07-20
D4AD950B-6AFE-431F-9B5A-5B99E6A79307,0.7315756,2021-07-20
D7B98018-C11D-4AE8-9093-84C26F587048,1.4175115,2021-07-20
D88D3191-2EC3-4492-A59E-E974AD443EA8,0.5,2021-07-20
D9809ABD-1F2C-46DB-88CC-89914B38C67B,1.1342192,2021-07-20
E8E1684E-1D5B-460C-AC3B-FA9F6E9D7BDD,2.2223687,2021-07-20
F8996BE7-5FDF-411D-A364-728ECC7F86E5,0.653975,2021-07-20
FEA7A67E-72A0-4E6F-AE4B-1583DB3EB052,1.2696874,2021-07-20
